CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	24	14	63.16	38
2	5	2	71.43	7
3	1	0	100.00	1
4	2	10	16.67	12
5	3	5	37.50	8
6	6	2	75.00	8
7	7	4	63.64	11
8	0	1	0.00	1
9	1	2	33.33	3
10	1	1	50.00	2
11	3	0	100.00	3
12	4	2	66.67	6
13	4	1	80.00	5
14	3	0	100.00	3
15	1	0	100.00	1
16	3	5	37.50	8
17	1	5	16.67	6
18	5	5	50.00	10
19	5	1	83.33	6
20	2	1	66.67	3
21	3	0	100.00	3
22	0	2	0.00	2
23	1	1	50.00	2
24	2	2	50.00	4
25	0	0		0
26	4	1	80.00	5
27	0	2	0.00	2
28	1	2	33.33	3
29	3	1	75.00	4
30	1	1	50.00	2
31	1	1	50.00	2
32	2	5	28.57	7
33	2	1	66.67	3
34	1	2	33.33	3
35	4	4	50.00	8
36	4	3	57.14	7
37	2	3	40.00	5
38	1	3	25.00	4
39	5	3	62.50	8
40	6	3	66.67	9
41	1	2	33.33	3
42	2	3	40.00	5
43	1	6	14.29	7
44	2	3	40.00	5
45	1	1	50.00	2
46	0	0		0
47	1	1	50.00	2
48	2	1	66.67	3
49	2	2	50.00	4
50	1	3	25.00	4
51	1	0	100.00	1
52	1	1	50.00	2
53	2	2	50.00	4
54	1	6	14.29	7
55	1	1	50.00	2
56	2	1	66.67	3
57	1	2	33.33	3
58	4	7	36.36	11
59	1	1	50.00	2
60	2	1	66.67	3
61	0	1	0.00	1
62	1	1	50.00	2
63	3	2	60.00	5
64	1	2	33.33	3
65	0	0		0
66	3	4	42.86	7
67	2	2	50.00	4
68	3	1	75.00	4
69	1	5	16.67	6
70	1	1	50.00	2
71	1	3	25.00	4
72	0	1	0.00	1
73	3	2	60.00	5
74	0	0		0
75	0	0		0
76	1	3	25.00	4
77	2	0	100.00	2
78	1	4	20.00	5
79	1	3	25.00	4
80	1	2	33.33	3
81	2	2	50.00	4
82	0	0		0
83	0	1	0.00	1
84	0	3	0.00	3
85	0	0		0
86	1	1	50.00	2
87	0	0		0
88	1	0	100.00	1
89	2	1	66.67	3
90	0	2	0.00	2
91	2	1	66.67	3
92	1	1	50.00	2
93	3	1	75.00	4
94	3	2	60.00	5

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	8	11.11	9
2	1	47	2.08	48
3	0	32	0.00	32
4	3	18	14.29	21
5	0	12	0.00	12
6	1	7	12.50	8
7	0	10	0.00	10
8	0	28	0.00	28
9	1	11	8.33	12
10	0	21	0.00	21
11	0	11	0.00	11
12	1	12	7.69	13
13	2	12	14.29	14
14	0	20	0.00	20
15	0	11	0.00	11
16	0	19	0.00	19
17	0	20	0.00	20
18	0	11	0.00	11
19	0	37	0.00	37
20	0	18	0.00	18
21	0	31	0.00	31
22	0	15	0.00	15
23	1	14	6.67	15
24	1	15	6.25	16
25	0	14	0.00	14
26	1	16	5.88	17
27	2	14	12.50	16
28	4	18	18.18	22
29	0	18	0.00	18
30	1	18	5.26	19
31	0	16	0.00	16
32	0	13	0.00	13
33	1	19	5.00	20
34	1	20	4.76	21
35	1	20	4.76	21
36	0	12	0.00	12
37	0	16	0.00	16
38	1	25	3.85	26
39	0	25	0.00	25
40	0	13	0.00	13
41	1	19	5.00	20
42	0	20	0.00	20
43	1	10	9.09	11
44	0	13	0.00	13
45	0	13	0.00	13
46	0	13	0.00	13
47	2	26	7.14	28
48	0	21	0.00	21
49	1	11	8.33	12
50	0	15	0.00	15
51	0	8	0.00	8
52	0	9	0.00	9
53	0	15	0.00	15
54	0	8	0.00	8
55	2	10	16.67	12
